   fecha    | grupo 
------------+-------
 2025-02-19 | A
 2025-02-20 | A
 2025-02-21 | A
 2025-02-25 | A
 2025-03-06 | A
 2025-03-07 | A
 2025-03-12 | A
 2025-03-12 | B
 2025-03-13 | A
 2025-03-13 | B
 2025-03-13 | C
 2025-03-14 | A
 2025-03-14 | B
 2025-03-14 | C
 2025-03-21 | A
 2025-03-28 | A
 2025-04-03 | A
 2025-04-03 | B
 2025-04-03 | C
 2025-04-09 | A
 2025-04-09 | B
 2025-04-09 | C
 2025-04-10 | A
 2025-04-10 | B
 2025-04-11 | A
 2025-04-11 | B
 2025-04-11 | C
 2025-04-16 | A
 2025-04-16 | B
 2025-04-23 | A
 2025-04-23 | B
 2025-04-23 | C
 2025-05-07 | A
 2025-05-07 | B
 2025-05-14 | A
 2025-05-14 | B
 2025-05-14 | C
 2025-05-21 | A
 2025-05-21 | B
 2025-05-21 | C
 2025-05-28 | A
 2025-05-28 | B
 2025-06-11 | A
 2025-06-17 | A
 2025-06-17 | B
 2025-06-17 | C
 2025-06-18 | A
 2025-06-18 | B
 2025-06-18 | C
 2025-06-24 | A
 2025-07-04 | A
 2025-08-05 | A
 2025-08-06 | A
 2025-08-12 | A
 2025-08-13 | A
 2025-08-19 | A
 2025-08-23 | A
 2025-08-27 | A
 2025-08-30 | A
 2025-09-09 | A
 2025-09-10 | A
 2025-09-16 | A
 2025-09-20 | A
 2025-09-22 | A
 2025-09-24 | A
 2025-09-27 | A
 2025-10-01 | A
 2025-10-07 | A
 2025-10-14 | A
 2025-10-21 | A
 2025-11-04 | A
 2025-11-19 | A
 2025-11-26 | A
 2025-12-01 | A
 2025-12-02 | A
 2025-12-04 | A
 2025-12-10 | A
 2025-12-19 | A
(78 rows)

